model,task_id,layer,mb,info,ready_ms,start_ms,finish_ms,wait_ms,duration_ms
llama-moe-6.7b,23375226857776,0,0,GROUP_BY forward all2all,59.8578,59.8578,59.8581,0.0000,0.0003
llama-moe-6.7b,23375226857296,0,0,GROUP_BY forward all2all,59.8578,59.8578,59.8581,0.0000,0.0003
llama-moe-6.7b,23375226873136,0,0,AGGREGATE forward all2all,116.1220,116.1220,116.9655,0.0000,0.8435
llama-moe-6.7b,23375226872656,0,0,AGGREGATE forward all2all,116.1220,116.1220,116.9655,0.0000,0.8435
llama-moe-6.7b,23375226864976,0,1,GROUP_BY forward all2all,176.8996,176.8996,176.9000,0.0000,0.0003
llama-moe-6.7b,23375226865456,0,1,GROUP_BY forward all2all,176.8996,176.8996,176.9000,0.0000,0.0003
llama-moe-6.7b,23375226856816,1,0,GROUP_BY forward all2all,176.9116,176.9116,176.9119,0.0000,0.0003
llama-moe-6.7b,23375226856336,1,0,GROUP_BY forward all2all,176.9116,176.9116,176.9119,0.0000,0.0003
llama-moe-6.7b,23375226853936,0,1,AGGREGATE forward all2all,233.1638,233.1638,234.0073,0.0000,0.8435
llama-moe-6.7b,23375226853456,0,1,AGGREGATE forward all2all,233.1638,233.1638,234.0073,0.0000,0.8435
llama-moe-6.7b,23375226855856,1,0,AGGREGATE forward all2all,233.1772,233.1772,234.0207,0.0000,0.8435
llama-moe-6.7b,23375226855376,1,0,AGGREGATE forward all2all,233.1772,233.1772,234.0207,0.0000,0.8435
llama-moe-6.7b,23375226846736,0,2,GROUP_BY forward all2all,293.9517,293.9517,293.9520,0.0000,0.0003
llama-moe-6.7b,23375226847216,0,2,GROUP_BY forward all2all,293.9517,293.9517,293.9520,0.0000,0.0003
llama-moe-6.7b,23375226852496,1,1,GROUP_BY forward all2all,293.9652,293.9652,293.9655,0.0000,0.0003
llama-moe-6.7b,23375226852976,1,1,GROUP_BY forward all2all,293.9652,293.9652,293.9655,0.0000,0.0003
llama-moe-6.7b,23375226854896,2,0,GROUP_BY forward all2all,293.9665,293.9665,293.9669,0.0000,0.0003
llama-moe-6.7b,23375226854416,2,0,GROUP_BY forward all2all,293.9666,293.9666,293.9669,0.0000,0.0003
llama-moe-6.7b,23375226846256,0,2,AGGREGATE forward all2all,350.2159,350.2159,351.0594,0.0000,0.8435
llama-moe-6.7b,23375226845776,0,2,AGGREGATE forward all2all,350.2159,350.2159,351.0594,0.0000,0.8435
llama-moe-6.7b,23375226851536,1,1,AGGREGATE forward all2all,350.2307,350.2307,351.0742,0.0000,0.8435
llama-moe-6.7b,23375226852016,1,1,AGGREGATE forward all2all,350.2307,350.2307,351.0742,0.0000,0.8435
llama-moe-6.7b,23375226860656,2,0,AGGREGATE forward all2all,350.2317,350.2317,351.0752,0.0000,0.8435
llama-moe-6.7b,23375226860176,2,0,AGGREGATE forward all2all,350.2317,350.2317,351.0752,0.0000,0.8435
llama-moe-6.7b,23375226859216,0,3,GROUP_BY forward all2all,410.9935,410.9935,410.9939,0.0000,0.0003
llama-moe-6.7b,23375226859696,0,3,GROUP_BY forward all2all,410.9935,410.9935,410.9939,0.0000,0.0003
llama-moe-6.7b,23375226861616,3,0,GROUP_BY forward all2all,411.0113,411.0113,411.0116,0.0000,0.0003
llama-moe-6.7b,23375226861136,3,0,GROUP_BY forward all2all,411.0113,411.0113,411.0117,0.0000,0.0003
llama-moe-6.7b,23375226844816,1,2,GROUP_BY forward all2all,411.0187,411.0187,411.0190,0.0000,0.0003
llama-moe-6.7b,23375226845296,1,2,GROUP_BY forward all2all,411.0187,411.0187,411.0190,0.0000,0.0003
llama-moe-6.7b,23375226851056,2,1,GROUP_BY forward all2all,411.0201,411.0201,411.0204,0.0000,0.0003
llama-moe-6.7b,23375226850576,2,1,GROUP_BY forward all2all,411.0201,411.0201,411.0204,0.0000,0.0003
llama-moe-6.7b,23375226862576,0,3,AGGREGATE forward all2all,467.2577,467.2577,468.1012,0.0000,0.8435
llama-moe-6.7b,23375226862096,0,3,AGGREGATE forward all2all,467.2577,467.2577,468.1012,0.0000,0.8435
llama-moe-6.7b,23375226864496,3,0,AGGREGATE forward all2all,467.2744,467.2744,468.1179,0.0000,0.8435
llama-moe-6.7b,23375226864016,3,0,AGGREGATE forward all2all,467.2745,467.2745,468.1180,0.0000,0.8435
llama-moe-6.7b,23375226874576,1,2,AGGREGATE forward all2all,467.2842,467.2842,468.1278,0.0000,0.8435
llama-moe-6.7b,23375226875056,1,2,AGGREGATE forward all2all,467.2842,467.2842,468.1278,0.0000,0.8435
llama-moe-6.7b,23375226850096,2,1,AGGREGATE forward all2all,467.2853,467.2853,468.1288,0.0000,0.8435
llama-moe-6.7b,23375226849616,2,1,AGGREGATE forward all2all,467.2853,467.2853,468.1288,0.0000,0.8435
llama-moe-6.7b,23375226863056,1,3,GROUP_BY forward all2all,528.0619,528.0619,528.0622,0.0000,0.0003
llama-moe-6.7b,23375226863536,1,3,GROUP_BY forward all2all,528.0619,528.0619,528.0622,0.0000,0.0003
llama-moe-6.7b,23375226874096,2,2,GROUP_BY forward all2all,528.0736,528.0736,528.0740,0.0000,0.0003
llama-moe-6.7b,23375226873616,2,2,GROUP_BY forward all2all,528.0737,528.0737,528.0740,0.0000,0.0003
llama-moe-6.7b,23375226848656,3,1,GROUP_BY forward all2all,536.6818,536.6818,536.6835,0.0000,0.0017
llama-moe-6.7b,23375226849136,3,1,GROUP_BY forward all2all,536.6818,536.6818,536.6835,0.0000,0.0017
llama-moe-6.7b,23375226864736,3,0,AGGREGATE backward all2all,536.6131,536.6131,537.2467,0.0000,0.6337
llama-moe-6.7b,23375226864256,3,0,AGGREGATE backward all2all,536.6146,536.6146,537.2482,0.0000,0.6337
llama-moe-6.7b,23375226870256,1,3,AGGREGATE forward all2all,584.3274,584.3274,585.1709,0.0000,0.8435
llama-moe-6.7b,23375226869776,1,3,AGGREGATE forward all2all,584.3274,584.3274,585.1709,0.0000,0.8435
llama-moe-6.7b,23375226872176,2,2,AGGREGATE forward all2all,584.3388,584.3388,585.1823,0.0000,0.8435
llama-moe-6.7b,23375226871696,2,2,AGGREGATE forward all2all,584.3388,584.3388,585.1823,0.0000,0.8435
